"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","907","should show no results for nonsense search","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","5","GET /api/health should return healthy status","firefox","2026-05-07","passed","2026-05-07","API Tests > Health API","api.spec.js","",""
"","1299","should handle empty search gracefully","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","975","should display registration form","webkit","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","792","should update item quantity","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","301","should show error for mismatched passwords","chromium","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","728","should show error for invalid credentials","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","55","POST /api/register should create new user","webkit","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","3857","should logout successfully","webkit","2026-05-07","passed","2026-05-07","Authentication > Logout","auth.spec.js","",""
"","308","should display out-of-stock correctly","chromium","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","606","should display product cards","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","3773","should preserve cart across page navigation","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","512","should have login and signup buttons","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","787","should filter products by category","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","272","should require all fields for registration","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","3134","should filter products by category","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","363","should validate required fields","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","452","should require all fields for registration","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","208","GET /api/products should filter by category","webkit","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","83","GET /api/cart should return empty cart initially","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","2022","should display the hero section","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","782","should handle search with only whitespace","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","566","should calculate tax correctly","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","827","should display demo credentials","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","1252","should format expiry date correctly","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","61","GET /api/products should filter by category","firefox","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","4849","should handle adding same product multiple times","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","34","POST /api/cart should return 404 for non-existent product","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","666","should require all fields for registration","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","209","should handle direct URL access to cart page","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","441","should reject duplicate email registration","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","606","should show empty cart message when cart is empty","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","112","POST /api/login should succeed with valid credentials","webkit","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1328","should display order summary","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","90","PUT /api/cart/:productId should update quantity","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","2383","should handle special characters in search","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","2247","should display product information correctly","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","4468","should handle slow API responses gracefully","firefox","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","849","should handle empty search gracefully","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1649","should have login and signup buttons","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","643","buttons should have accessible names","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","581","should display error state when API fails","firefox","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
